distance,fuel,location,make,model,price,resource,year
216524.0,Dizel,Podgorica,Volkswagen,Caddy,7200.0,autodiler.me,2011
39000.0,Dizel,Danilovgrad,Renault,Kadjar,21600.0,autodiler.me,2019
99000.0,Dizel,Danilovgrad,Renault,Kadjar,17800.0,autodiler.me,2019
240394.0,Dizel,Herceg Novi,Ford,Focus,8950.0,autodiler.me,2015
209000.0,Dizel,Cetinje,Audi,A4,25000.0,autodiler.me,2017
85759.0,Benzin,Bar,Chevrolet,Aveo,3800.0,autodiler.me,2011
210000.0,Dizel,Podgorica,Volkswagen,Passat,10800.0,autodiler.me,2012
190800.0,Dizel,Podgorica,Mercedes Benz,C 220,21700.0,autodiler.me,2016
1670000.0,Dizel,Cetinje,Mercedes Benz,A 180,19950.0,autodiler.me,2019
230000.0,Dizel,Podgorica,BMW,520,8200.0,autodiler.me,2008
32000.0,Benzin,Podgorica,Volkswagen,Golf 8,41800.0,autodiler.me,2020
126278.0,Dizel,Podgorica,Mercedes Benz,GLC 220,42980.0,autodiler.me,2016
30467.0,Benzin,Podgorica,Renault,Captur,25980.0,autodiler.me,2021
65392.0,Benzin,Podgorica,Mercedes Benz,A 180,29980.0,autodiler.me,2018
124636.0,Dizel,Kotor,BMW,X1,27980.0,autodiler.me,2016
58699.0,Dizel,Podgorica,Audi,A6,47980.0,autodiler.me,2019
142000.0,Hibrid,Podgorica,Audi,A6,42500.0,autodiler.me,2020
55000.0,Benzin,Podgorica,Mercedes Benz,G 63 AMG,200000.0,autodiler.me,2020
205000.0,Dizel,Herceg Novi,Nissan,Qashqai,9900.0,autodiler.me,2010
135000.0,Dizel,Cetinje,Mercedes Benz,B 180,28000.0,autodiler.me,2019
229000.0,Dizel,Cetinje,Renault,Kadjar,15950.0,autodiler.me,2015
246000.0,Dizel,Podgorica,Volkswagen,Polo Cross,7950.0,autodiler.me,2012
256000.0,Dizel,Nikšić,Land Rover,Freelander,7950.0,autodiler.me,2007
295000.0,Dizel,Nikšić,Volvo,XC 90,8950.0,autodiler.me,2006
159800.0,Dizel,Nikšić,Volkswagen,Golf 7,17650.0,autodiler.me,2017
180000.0,Dizel,Cetinje,Citroen,C5 Aircross,17650.0,autodiler.me,2019
214000.0,Dizel,Cetinje,Audi,A3,17650.0,autodiler.me,2020
184000.0,Dizel,Cetinje,BMW,X1,19850.0,autodiler.me,2018
146000.0,Dizel,Cetinje,Opel,Crossland X,12750.0,autodiler.me,2019
241365.0,Dizel,Cetinje,Audi,A4,8900.0,autodiler.me,2010
125000.0,Dizel,Podgorica,Peugeot,208,8400.0,autodiler.me,2017
183000.0,Dizel,Tivat,Volkswagen,Passat,18000.0,autodiler.me,2016
170000.0,Dizel,Podgorica,Opel,Grandland X,15150.0,autodiler.me,2018
21400.0,Dizel,Nikšić,Audi,A3,9200.0,autodiler.me,2012
280000.0,Dizel,Podgorica,Renault,Scenic,7450.0,autodiler.me,2015
217000.0,Dizel,Podgorica,Peugeot,308,9550.0,autodiler.me,2019
38500.0,Dizel,Podgorica,Volkswagen,Tiguan,47900.0,autodiler.me,2021
77000.0,Dizel,Nikšić,Audi,A6,50500.0,autodiler.me,2019
267000.0,Dizel,Podgorica,Renault,Megane,4400.0,autodiler.me,2011
134000.0,Dizel,Nikšić,Peugeot,3008,21500.0,autodiler.me,2019
186410.0,Dizel,Podgorica,Volkswagen,Golf 6,8499.0,autodiler.me,2012
180000.0,Dizel,Podgorica,Peugeot,308,11950.0,autodiler.me,2018
213750.0,Dizel,Podgorica,Audi,A3,12800.0,autodiler.me,2013
31000.0,Benzin,Podgorica,Mercedes Benz,S 600,130000.0,autodiler.me,2022
91000.0,Dizel,Podgorica,Mercedes Benz,ML 320,25000.0,autodiler.me,2012
86.0,Benzin,Podgorica,Volkswagen,Scirocco,15000.0,autodiler.me,2012
51000.0,Benzin,Podgorica,Audi,SQ8,100000.0,autodiler.me,2021
26548.0,Hibrid,Podgorica,Mercedes Benz,C 220,38000.0,autodiler.me,2022
97000.0,Benzin,Podgorica,Porsche,Cayenne,20000.0,autodiler.me,2006
43000.0,Dizel,Podgorica,Volkswagen,Amarok,20000.0,autodiler.me,2011
226327.0,Dizel,Podgorica,Mercedes Benz,GL 320,20000.0,autodiler.me,2009
181000.0,Dizel,Bar,Volkswagen,Golf 7,13699.0,autodiler.me,2017
48000.0,Benzin,Podgorica,Mercedes Benz,S 63 AMG,98000.0,autodiler.me,2015
33000.0,Benzin,Podgorica,Volkswagen,Golf 8,42900.0,autodiler.me,2021
225000.0,Dizel,Podgorica,Volkswagen,Golf 7,15400.0,autodiler.me,2018
260000.0,Dizel,Cetinje,Toyota,Corolla Verso,4500.0,autodiler.me,2008
195000.0,Dizel,Nikšić,Škoda,Superb,24490.0,autodiler.me,2019
81000.0,Dizel,Bar,Jaguar,F,46700.0,autodiler.me,2016
200000.0,Dizel,Danilovgrad,Volkswagen,Golf 7,11850.0,autodiler.me,2013
195000.0,Dizel,Cetinje,Peugeot,208,6800.0,autodiler.me,2016
183731.0,Benzin+Plin,Podgorica,Opel,Meriva,2350.0,autodiler.me,2003
203000.0,Dizel,Podgorica,Renault,Megane,4100.0,autodiler.me,2010
188000.0,Dizel,Podgorica,Mazda,CX,15600.0,autodiler.me,2016
169000.0,Dizel,Podgorica,Volkswagen,Passat,14900.0,autodiler.me,2017
218000.0,Dizel,Podgorica,Volvo,S60,14200.0,autodiler.me,2017
261000.0,Dizel,Ulcinj,BMW,320,11000.0,autodiler.me,2011
217000.0,Dizel,Podgorica,Citroen,C4,7850.0,autodiler.me,2013
207000.0,Dizel,Podgorica,Mazda,CX,16500.0,autodiler.me,2016
150000.0,Dizel,Nikšić,Audi,Q7,60000.0,autodiler.me,2019
44360.0,Benzin,Podgorica,BMW,M5,134980.0,autodiler.me,2021
95000.0,Benzin,Bar,Fiat,500 Abarth,19600.0,autodiler.me,2017
179000.0,Dizel,Cetinje,Nissan,Juke,8950.0,autodiler.me,2011
221000.0,Dizel,Cetinje,Citroen,C4,8800.0,autodiler.me,2017
148156.0,Dizel,Podgorica,Audi,A4,31990.0,autodiler.me,2019
